[Wednesday/July 26/07/2023 12:38:47] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E01.mkv | length=1452.084 | time=11.386
[Wednesday/July 26/07/2023 12:38:50] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E02.mkv | length=1452.084 | time=2.294
[Wednesday/July 26/07/2023 12:39:08] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E02.mkv | length=1452.084 | time=3.045
[Wednesday/July 26/07/2023 12:41:38] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E01.mkv | length=1452.084 | time=2.502
[Wednesday/July 26/07/2023 12:41:39] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E02.mkv | length=1452.084 | time=1.251
[Wednesday/July 26/07/2023 12:41:40] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E03.mkv | length=1452.084 | time=0.334
[Wednesday/July 26/07/2023 12:41:40] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E04.mkv | length=1452.084 | time=0.125
[Wednesday/July 26/07/2023 12:41:41] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E05.mkv | length=1452.084 | time=0.167
[Wednesday/July 26/07/2023 12:53:17] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E06.mkv | length=1452.084 | time=1452.0840000008
[Wednesday/July 26/07/2023 13:11:35] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E07.mkv | length=1452.084 | time=1074.907
[Wednesday/July 26/07/2023 13:16:28] /home/dny4/Courses/SDE/Colt.Steele/Mastering OpenAI APIs Unleash the Power of GPT-4/1. Introduction/1. Welcome & Course Overview.mp4 | length=662.721 | time=2.0333333333333
[Wednesday/July 26/07/2023 13:23:02] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 01 - Types of Scaling.mp4 | length=2664 | time=8.9
[Wednesday/July 26/07/2023 13:24:15] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 01 - Types of Scaling.mp4 | length=2664 | time=17.1
[Wednesday/July 26/07/2023 13:24:50] /home/dny4/Courses/SDE/Steve.Tarzia/CS-310 Scalable Software Architectures/CS-310 Lecture 01 - Types of Scaling.mp4 | length=2664 | time=23.566666666667
[Wednesday/July 26/07/2023 13:25:00] /home/dny4/Videos/series/Spy.x.Family/SPY.x.FAMILY.E07.mkv | length=1452.084 | time=1084.083
[Wednesday/July 26/07/2023 16:11:58] /home/dny4/Downloads/Secret.Invasion.S01E06.Home.720p.WEB-DL.x264.300MB-Pahe.in.mkv | length=2140.937 | time=10.167
